discharge_disposition_id,description
1.0,Discharged to home
2.0,Discharged/transferred to another short term hospital
3.0,Discharged/transferred to SNF
4.0,Discharged/transferred to ICF
5.0,Discharged/transferred to another type of inpatient care institution
6.0,Discharged/transferred to home with home health service
7.0,Left AMA
8.0,Discharged/transferred to home under care of Home IV provider
9.0,Admitted as an inpatient to this hospital
10.0,Neonate discharged to another hospital for neonatal aftercare
11.0,Expired
12.0,Still patient or expected to return for outpatient services
13.0,Hospice / home
14.0,Hospice / medical facility
15.0,Discharged/transferred within this institution to Medicare approved swing bed
16.0,Discharged/transferred/referred another institution for outpatient services
17.0,Discharged/transferred/referred to this institution for outpatient services
18.0,
19.0,"Expired at home. Medicaid only, hospice."
20.0,"Expired in a medical facility. Medicaid only, hospice."
21.0,"Expired, place unknown. Medicaid only, hospice."
22.0,Discharged/transferred to another rehab fac including rehab units of a hospital .
23.0,Discharged/transferred to a long term care hospital.
24.0,Discharged/transferred to a nursing facility certified under Medicaid but not certified under Medicare.
25.0,Not Mapped
26.0,Unknown/Invalid
30.0,Discharged/transferred to another Type of Health Care Institution not Defined Elsewhere
27.0,Discharged/transferred to a federal health care facility.
28.0,Discharged/transferred/referred to a psychiatric hospital of psychiatric distinct part unit of a hospital
29.0,Discharged/transferred to a Critical Access Hospital (CAH).
,
